113.171.202.77 r2---sn-8qj-i2ie7.googlevideo.com
176.122.113.13 r2---sn-0ub03g5pox-3c2l.googlevideo.com
74.125.111.219 r11---sn-n8v7znz7.googlevideo.com
84.235.64.145 r6.sn-nuj-g0ik.googlevideo.com
1.254.179.44 r1---sn-n3cgv5qc5oq-20nl.googlevideo.com
41.78.74.108 r1---sn-ivgh00qnv-hb9e.googlevideo.com
74.125.163.135 rr2.sn-4g5lzney.googlevideo.com
74.125.163.135 rr2---sn-4g5lzney.googlevideo.com
173.194.189.36 r18.sn-3c27sn7y.googlevideo.com
173.194.180.151 rr5---sn-n8v7knes.googlevideo.com
190.232.140.79 r4.sn-uqx2-aphez.googlevideo.com
120.253.253.2 r1.sn-ni5een7l.googlevideo.com
113.171.240.210 r3---sn-8qj-i5ozd.googlevideo.com
113.171.203.78 r3.sn-8qj-i5os7.googlevideo.com
173.194.178.30 r12---sn-n8v7knee.googlevideo.com
190.145.139.14 r3---sn-ja5gvjv-cb5l.googlevideo.com
112.79.40.79 r4.sn-8vq54voxpo-wqie.googlevideo.com
186.177.66.206 r3.sn-5hoxuj5cax-nwv6.googlevideo.com
46.42.1.76 r1.sn-3huo-3hfl.googlevideo.com
65.48.147.12 r1.sn-4avf-cbps.googlevideo.com
209.85.164.230 r1---sn-vgqsrne6.googlevideo.com
114.125.96.145 r6.sn-uxa3vhnxa-n0c6.googlevideo.com
218.208.3.206 r3.tm-kul6.googlevideo.com
212.188.49.207 r4---sn-jvhnu5g-c35e.googlevideo.com
49.231.97.48 r5---sn-5fo-iqte.googlevideo.com
193.126.242.79 r4---sn-ovn-v2ve.googlevideo.com
74.125.159.198 r1.sn-qxoedn7k.googlevideo.com
190.94.74.77 r2---sn-ugpjvh-nups.googlevideo.com
43.245.145.205 r2.sn-w5nuxa-c33ld.googlevideo.com
161.49.32.76 r1.sn-jvhja5g3-hoaee.googlevideo.com
162.223.19.211 r8.sn-3pocxg-njxl.googlevideo.com
213.158.172.110 r3---sn-uxaxjvhxbt2u-j5pee.googlevideo.com
194.9.24.82 r7.sn-5uh5o-f5f6.googlevideo.com
93.91.117.141 r2---sn-45nuapo3g0-n8ve.googlevideo.com
173.194.178.221 r11.sn-n8v7znly.googlevideo.com
116.58.204.111 r4.sn-c5oba5apo3-q5js.googlevideo.com
113.171.198.172 r1.sn-8qj-i5osy.googlevideo.com
116.206.28.142 r3.sn-uigxxi0ujipnvo-jb3s.googlevideo.com
190.58.255.111 r4.sn-unuu-2vnl.googlevideo.com
177.36.38.174 r3.sn-585uvuxjcg-2v5e.googlevideo.com
190.208.14.15 r4---sn-5hxgpj5hv8pa-njae.googlevideo.com
203.208.39.96 r14---sn-2x3eln76.googlevideo.com
42.116.237.206 r3---sn-42u-nbosk.googlevideo.com
188.191.224.236 r1.sn-pujob-ua8l.googlevideo.com
92.46.70.78 r3---sn-35153iuxa-unxz.googlevideo.com
78.11.251.204 r1.sn-oxup5-3ufs.googlevideo.com
119.153.112.12 r1---sn-2uja-aixd.googlevideo.com
74.125.15.32 r14.sn-3c27sn7e.googlevideo.com
200.24.140.111 r4.sn-oxqxuxa-0pve.googlevideo.com
200.14.228.142 r3---sn-5hxgpj5hv8pa-njaz.googlevideo.com
74.125.15.36 r18---sn-3c27sn7e.googlevideo.com
151.99.110.111 r4---sn-uxaxpu5ap5-o52e.googlevideo.com
61.90.179.80 r5---sn-5np5po4v-c33s6.googlevideo.com
212.142.160.78 r3---sn-x0n35auxa-cpvl.googlevideo.com
168.196.247.236 r1---sn-apo3x5g-x1xe.googlevideo.com
190.183.231.44 r1---sn-bpb5gxq-2g5l.googlevideo.com
187.1.185.47 r4.sn-jxou0gtcg-jo4e.googlevideo.com
113.171.236.211 r8---sn-8qj-nbold.googlevideo.com
173.194.184.199 r2---sn-p5qlsnd6.googlevideo.com
212.10.41.205 r2.sn-nuv45-caas.googlevideo.com
189.247.141.142 r3.sn-0opoxu-2cjee.googlevideo.com
49.44.143.206 r3.sn-gwpa-ccp6.googlevideo.com
80.77.169.206 r3---sn-4pvgq-gv8e.googlevideo.com
185.158.209.81 r6---sn-bpb5oxu-vqnl.googlevideo.com
188.43.61.143 r4.sn-ug5onuxaxjvh-n8v6.googlevideo.com
212.122.14.206 r3---sn-gvnuxaxjvh-88vl.googlevideo.com
182.176.125.17 r6.sn-2uja-aixr.googlevideo.com
49.236.215.207 r4---sn-ja5nnpjuxji-3uhe.googlevideo.com
74.125.101.105 r4.sn-npoeenl7.googlevideo.com
185.56.174.206 r3---sn-8pgu05v2xg5uvg-f5fl.googlevideo.com
173.194.28.73 r4---sn-ntq7yner.googlevideo.com
109.195.169.76 r1.sn-xguxaxjvh-g1oe.googlevideo.com
65.206.58.81 r6.sn-8xgp1vo-ab5l.googlevideo.com
120.28.26.18 r7.sn-bavcx-hoae.googlevideo.com
113.171.247.17 r6---sn-8qj-q5qy.googlevideo.com
61.90.189.204 r1---sn-5np5po4v-c33z7.googlevideo.com
200.14.229.172 r1---sn-5hxgpj5hv8pa-3o5e.googlevideo.com
203.66.180.12 r1---sn-ipoxu-u2x6.googlevideo.com
119.46.86.177 r6---sn-5np5po4v-c33zk.googlevideo.com
37.237.106.205 r2.sn-x5guiapo3uxax-ow4r.googlevideo.com
165.254.153.78 r3---sn-2napbiu-p5ie.googlevideo.com
189.247.92.14 r3.sn-0opoxu-hxmke.googlevideo.com
1.9.91.142 r3.sn-uh-30ale.googlevideo.com
27.71.240.211 r8.sn-8pxuuxa-i5ozl.googlevideo.com
191.5.34.76 r1.sn-pnph2axncg-qp9e.googlevideo.com
212.188.35.238 r3---sn-jvhnu5g-n8ml.googlevideo.com
201.0.237.207 r4---sn-8p8v-bg0r.googlevideo.com
200.30.193.142 r3.sn-8ug-anje.googlevideo.com
212.156.184.17 r6.sn-u0g3uxax3-5tue.googlevideo.com
203.113.189.178 r7.sn-8pxuuxa-8j56.googlevideo.com
189.73.192.204 r1.sn-cg51pauxax-cnce.googlevideo.com
186.235.68.237 r2---sn-gbnpa8xpg5cg-p2oe.googlevideo.com
109.195.41.78 r3.sn-xguxaxjvh-c5me.googlevideo.com
202.163.115.143 r4---sn-jtcxg-3ipz.googlevideo.com
77.192.211.80 r5.sn-n4g-hgn6.googlevideo.com
173.44.117.78 r3---sn-h5mmnv0ui-hxhe.googlevideo.com
187.189.89.14 r3---sn-uvu5a2a5t-hxme.googlevideo.com
188.64.201.78 r3.sn-2xax2ivox-ua8l.googlevideo.com
213.81.141.204 r1---sn-nav853-cunz.googlevideo.com
138.59.123.48 r5---sn-n0hpjput-bpbl.googlevideo.com
42.112.11.109 r2---sn-42u-nbosz.googlevideo.com
23.228.131.206 r3.sn-bvvbax4pcxg-hjpz.googlevideo.com
37.60.17.142 r3.sn-hxugvnxu-uwhz.googlevideo.com
113.171.198.111 r4---sn-8qj-i5osk.googlevideo.com
212.188.49.83 r8---sn-jvhnu5g-n8v6.googlevideo.com
200.77.222.204 r1.sn-j5caxh5n-upws.googlevideo.com
203.144.91.145 r6---sn-j5hbnh-2oil.googlevideo.com
188.128.69.176 r5---sn-gvnuxaxjvh-gv8z.googlevideo.com
43.245.104.77 r2---sn-hvcpaxvox-npod.googlevideo.com
173.194.28.104 r3.sn-ntqe6n7k.googlevideo.com
173.194.183.71 r2---sn-aigl6ned.googlevideo.com
103.215.25.169 r2---sn-pjvo2aopq-jb3e.googlevideo.com
202.73.227.147 r8---sn-nh5gu-wvbe.googlevideo.com
181.177.20.142 r3---sn-4pcxgf5t-w0we.googlevideo.com
197.199.232.14 r3.sn-xupn5a5uxbt-j5p6.googlevideo.com
110.76.130.237 r2---sn-3noxufvg3-jb2e.googlevideo.com
203.76.223.15 r4---sn-coxucq-q5je.googlevideo.com
84.235.64.18 r7.sn-nuj-g0i6.googlevideo.com
45.6.95.205 r2.sn-avj5aapo3cg-gxje.googlevideo.com
114.125.35.76 r1.sn-uxa3vhnxa-230k.googlevideo.com
212.55.187.14 r3---sn-ivuoxu-ua86.googlevideo.com
209.52.189.76 r1.sn-uxa0n-t8gl.googlevideo.com
173.194.191.232 r3---sn-q4flrne6.a1.googlevideo.com
201.0.237.97 r14---sn-8p8v-bg0z.googlevideo.com
209.85.165.137 r4.sn-q4flrn7y.googlevideo.com
103.62.142.19 r8.sn-jpgjax-q5js.googlevideo.com
74.125.152.42 r5.sn-ntqe6nez.googlevideo.com
81.18.76.240 r5.sn-gqn-vu2k.googlevideo.com
49.231.55.110 r3.sn-5fo-c33ee.googlevideo.com
173.194.181.27 r9---sn-n8v7zns6.googlevideo.com
187.73.144.238 r3---sn-hqcg-8j2e.googlevideo.com
42.119.208.205 r2.sn-42u-nboel.googlevideo.com
86.57.205.146 r7.sn-cxauxaxjvh-hn9k.googlevideo.com
103.73.104.209 r6---sn-5oucq-q5je.googlevideo.com
210.242.127.207 r4---sn-ipoxu-u2xr.googlevideo.com
49.231.60.209 r6.sn-5fo-c33s.googlevideo.com
113.171.195.173 r2---sn-8qj-8jal.googlevideo.com
77.52.179.14 r3---sn-jvhnu5g03g-3c2s.googlevideo.com
173.194.182.35 r17---sn-n8v7znsy.googlevideo.com
173.194.182.135 r2---sn-hpa7znsz.googlevideo.com
42.106.161.79 r4.sn-8vq54voxpo-cvhl.googlevideo.com
113.171.204.13 r2---sn-8qj-i2ies.googlevideo.com
159.192.0.18 r7.sn-j5u-c33e7.googlevideo.com
218.208.3.207 r4.tm-kul6.googlevideo.com
90.201.126.144 r5.sn-cn3tc-aigz.googlevideo.com
74.125.103.40 r3---sn-n4v7sney.googlevideo.com
209.143.6.236 r1.sn-jvhoxu-q5te.googlevideo.com
189.247.147.144 r5---sn-0opoxu-hutez.googlevideo.com
209.85.165.72 r3---sn-q4flrn7k.googlevideo.com
49.44.209.77 r2---sn-gwpa-qxay.googlevideo.com
117.219.228.16 r5.sn-cnoa-cvhl.googlevideo.com
49.44.84.205 r2---sn-gwpa-jv3e.googlevideo.com
173.194.163.158 r12---sn-n8v7kn7e.googlevideo.com
189.247.22.80 r5---sn-0opoxu-hxmse.googlevideo.com
114.125.192.12 r1---sn-uxa3vhnxa-02bl.googlevideo.com
85.18.30.112 r5.sn-45nufxc-hm2e.googlevideo.com
191.242.112.109 r2.sn-2aphcg-jo4e.googlevideo.com
179.40.55.14 r3---sn-uxax4vopj55gb-x1xee.googlevideo.com
173.194.22.9 r4---sn-3pm7dn7d.googlevideo.com
181.40.16.79 r4.sn-upbv2t-xovs.googlevideo.com
92.46.70.110 r3---sn-35153iuxa-unx6.googlevideo.com
103.44.18.174 r3.sn-hog-qxal.googlevideo.com
65.206.58.144 r5---sn-8xgp1vo-ab5s.googlevideo.com
210.139.253.109 r2---sn-nvoxu-ioqe7.googlevideo.com
90.202.186.176 r5---sn-cn3tc-ajtr.googlevideo.com
1.254.179.111 r4---sn-n3cgv5qc5oq-20nz.googlevideo.com
173.194.176.27 r9---sn-n8v7kn7s.googlevideo.com
82.76.79.76 r1.rds-otp1.googlevideo.com
139.5.69.143 r4.sn-fapo3ox25a-23ge.googlevideo.com
74.125.101.71 r2---sn-npoeeney.googlevideo.com
118.98.106.211 r8---sn-2uuxa3vh-cqwe.googlevideo.com
197.160.155.14 r3.sn-apo3qvuoxuxbt-5atl.googlevideo.com
203.113.162.49 r6---sn-8pxuuxa-jmgs.googlevideo.com
43.245.193.140 r1.sn-55hg5-q5jl.googlevideo.com
212.1.250.208 r5---sn-oxuctoxu-xbvl.googlevideo.com
86.57.206.31 r12---sn-cxauxaxjvh-hn9ee.googlevideo.com
209.91.104.12 r1.sn-uxa0n-txbs.googlevideo.com
188.21.9.25 r6---sn-uxax3vh50nugp5-8pxy.googlevideo.com
212.9.14.236 r1---sn-wxgnxtuxaxjvh-wxgl.googlevideo.com
103.46.233.141 r2---sn-an4pcxgoxu-gw5e.googlevideo.com
202.88.166.236 r1.sn-i5uif5t-itqz.googlevideo.com
90.201.127.208 r5.sn-cn3tc-ac5d.googlevideo.com
90.223.244.81 r6---sn-cn3tc-aige.googlevideo.com
201.17.165.141 r2.netservicos-cnf2.googlevideo.com
145.236.73.91 r8---sn-h5bt5guxax3vh-c0qe7.googlevideo.com
58.123.102.15 r4---sn-n3cgv5qc5oq-bh26s.googlevideo.com
190.55.24.13 r2.sn-uxaxjxougv-x1xed.googlevideo.com
202.51.247.141 r2.sn-o0nbb52v2-npoe.googlevideo.com
217.119.118.76 r1.sn-xoxgbvuxa-cuns.a1.googlevideo.com
113.171.238.80 r5.sn-8qj-nboll.googlevideo.com
36.92.235.13 r2.sn-2uuxa3vh-jb3ez.googlevideo.com
177.39.103.77 r2.sn-2wqcg51pa-gxje.googlevideo.com
103.17.200.205 r2.sn-4pcxgapo3-aixs.googlevideo.com
103.232.228.236 r1---sn-capo3o2-23ge.googlevideo.com
216.147.171.173 r2---sn-qjo-cpnl.googlevideo.com
173.194.181.227 r17.sn-n8v7znsr.googlevideo.com
188.43.68.82 r7.sn-ug5onuxaxjvh-jx3l.googlevideo.com
182.79.138.205 r2.sn-ci5gup-cvhk.googlevideo.com
189.216.6.143 r4---sn-j5cax8pnpvohm-hxmr.googlevideo.com
189.247.23.16 r5---sn-0opoxu-hutek.googlevideo.com
177.135.245.142 r3.sn-b8u-jbge.googlevideo.com
49.44.142.208 r5---sn-gwpa-a0i6.googlevideo.com
5.22.190.76 r1---sn-ncc-cxbl.googlevideo.com
82.148.102.143 r4---sn-9uxa-qviez.googlevideo.com
208.117.238.14 r3.sn-uxaxoxu-cg0k.googlevideo.com
182.79.131.16 r5---sn-ci5gup-wqie.googlevideo.com
62.24.198.50 r7.sn-u5a3u5a3-h5oy.googlevideo.com
217.73.128.207 r4---sn-5cjvh-up5s.googlevideo.com
181.30.241.46 r3---sn-j5cax8pnpvo-x1xey.googlevideo.com
103.25.250.15 r4---sn-gvcp5mp5u5-q5js.googlevideo.com
125.234.51.211 r8---sn-8pxuuxa-nboll.googlevideo.com
66.201.170.76 r1---sn-uxax4vopj5n8-n5al.googlevideo.com
194.150.129.15 r4---sn-gvnuxaxjvh-c5me.googlevideo.com
223.62.225.147 r8---sn-n3hvcpax-bh2y.googlevideo.com
200.129.233.12 r1---sn-go2-2v5e.googlevideo.com
195.29.179.145 r6---sn-uiu-15bl.googlevideo.com
74.125.164.199 r2---sn-i3b7knsd.googlevideo.com
86.51.30.177 r6---sn-hvcpat-g0ir.googlevideo.com
198.167.244.121 r2---sn-5jxuxax2ivox-bgge.googlevideo.com
49.44.82.83 r8.sn-gwpa-a0ie.googlevideo.com
84.235.65.13 r2---sn-nuj-wxq6.googlevideo.com
189.203.166.173 r2---sn-uvu5a2a5t-bqad.googlevideo.com
195.29.179.145 r6.sn-uiu-15bl.googlevideo.com
92.126.121.12 r1.sn-gvnuxaxjvh-3w5s.googlevideo.com
118.98.36.145 r6---sn-2uuxa3vh-cuie.googlevideo.com
84.235.64.142 r3.stc-ruh7.googlevideo.com
187.18.184.12 r1---sn-8pqxvh5g-4vge.googlevideo.com
50.202.95.153 r10.sn-bvvbax-cvnl.googlevideo.com
83.255.236.205 r2.sn-jvhixh-hhml.googlevideo.com
202.43.172.12 r1.sn-qu2oxupq-jb3e.googlevideo.com
77.74.42.16 r5---sn-h5bupjvh-c0ne.googlevideo.com
202.128.15.12 r1.sn-b05hj5cax8pnpvo-b0hl.googlevideo.com
113.171.237.143 r4---sn-8qj-8j5e7.googlevideo.com
